Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-28,2023,1,28,,"2,4",,"-4,4",,"-1,0",,"19,0",,"0,0",,"0,0",,"1,8",,"1,8",,30.0,,27.0,,64.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-29,2023,1,29,,"-3,7",,"-11,1",,"-7,4",,"25,4",,"0,0",,"0,0",,"10,8",,"10,8",,29.0,,3.0,,48.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-30,2023,1,30,,"-7,9",,"-11,8",,"-9,9",,"27,9",,"0,0",,"0,0",,"5,4",,"4,8",,39.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-01-31,2023,1,31,,"-8,1",,"-19,7",,"-13,9",,"31,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,44.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-01,2023,2,1,,"-6,2",,"-23,1",,"-14,7",,"32,7",,"0,0",,"0,0",,"0,2",,"0,2",,44.0,,22.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-02,2023,2,2,,"-0,8",,"-14,5",,"-7,7",,"25,7",,"0,0",,"0,0",,"1,2",,"1,0",,43.0,,22.0,,71.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-03,2023,2,3,,"-14,5",,"-27,9",,"-21,2",,"39,2",,"0,0",,"0,0",,"0,0",,"0,0",,41.0,,29.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-04,2023,2,4,,,M,,M,,M,,M,,M,"0,0",,"0,0",T,"0,0",T,39.0,,26.0,,38.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-05,2023,2,5,,"-7,4",,"-18,2",,"-12,8",,"30,8",,"0,0",,"0,0",,"2,0",,"2,0",,39.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-06,2023,2,6,,"-3,4",,"-13,7",,"-8,6",,"26,6",,"0,0",,"0,0",,"0,0",,"0,0",,39.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-07,2023,2,7,,"1,8",,"-16,9",,"-7,6",,"25,6",,"0,0",,"0,0",,"2,2",,"2,6",,38.0,,15.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-08,2023,2,8,,"4,0",,"-3,2",,"0,4",,"17,6",,"0,0",,"0,0",,"0,0",,"0,0",,38.0,,27.0,,43.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-09,2023,2,9,,"2,0",,"-7,2",,"-2,6",,"20,6",,"0,0",,"11,2",,"0,8",,"18,6",,36.0,,7.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-10,2023,2,10,,"4,7",,"-2,7",,"1,0",,"17,0",,"0,0",,"2,6",,"1,2",,"3,8",,28.0,,23.0,,68.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-11,2023,2,11,,"-1,1",,"-8,0",,"-4,6",,"22,6",,"0,0",,"0,0",,"0,4",,"0,4",,29.0,,23.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-12,2023,2,12,,"1,5",,"-5,4",,"-2,0",,"20,0",,"0,0",,"0,0",,"0,0",,"0,0",,27.0,,24.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-13,2023,2,13,,"4,5",,"-6,7",,"-1,1",,"19,1",,"0,0",,"0,0",,"0,0",,"0,0",,27.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-14,2023,2,14,,"4,6",,"-1,8",,"1,4",,"16,6",,"0,0",,"0,0",,"0,0",,"0,0",,26.0,,26.0,,38.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-15,2023,2,15,,"9,1",,"-0,6",,"4,3",,"13,7",,"0,0",,"3,4",,"0,0",,"3,4",,25.0,,27.0,,52.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-16,2023,2,16,,"6,1",,"-2,7",,"1,7",,"16,3",,"0,0",,"0,0",,"0,2",,"0,4",,18.0,,25.0,,62.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-17,2023,2,17,,"-2,7",,"-10,7",,"-6,7",,"24,7",,"0,0",,"0,0",,"7,6",,"13,2",,16.0,,2.0,,67.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-18,2023,2,18,,"-0,3",,"-13,7",,"-7,0",,"25,0",,"0,0",,"0,0",,"0,0",T,"0,0",T,13.0,,23.0,,47.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-19,2023,2,19,,"4,8",,"-4,0",,"0,4",,"17,6",,"0,0",,"0,0",,"0,0",,"0,0",,13.0,,14.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-20,2023,2,20,,"4,8",,"-9,4",,"-2,3",,"20,3",,"0,0",,"0,0",T,"0,0",,"0,0",T,10.0,,29.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-21,2023,2,21,,"-5,4",,"-14,4",,"-9,9",,"27,9",,"0,0",,"0,0",,"2,0",,"2,0",,9.0,,4.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-22,2023,2,22,,"-6,2",,"-11,8",,"-9,0",,"27,0",,"0,0",,"0,0",,"0,0",,"0,0",,10.0,,6.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-23,2023,2,23,,"-9,0",,"-12,5",,"-10,8",,"28,8",,"0,0",,"0,0",,"5,6",,"5,6",,11.0,,3.0,,57.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-24,2023,2,24,,"-10,4",,"-15,9",,"-13,2",,"31,2",,"0,0",,"0,0",,"0,0",T,"0,0",T,12.0,,26.0,,44.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-25,2023,2,25,,"-13,0",,"-20,4",,"-16,7",,"34,7",,"0,0",,"0,0",,"1,6",,"1,6",,12.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-26,2023,2,26,,"-7,8",,"-16,1",,"-12,0",,"30,0",,"0,0",,"0,0",,"2,0",,"1,8",,14.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-27,2023,2,27,,"-5,3",,"-16,6",,"-11,0",,"29,0",,"0,0",,"0,0",,"0,0",,"0,0",,14.0,,4.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-02-28,2023,2,28,,"0,8",,"-6,7",,"-3,0",,"21,0",,"0,0",,"0,0",,"15,2",,"15,2",,13.0,,26.0,,57.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-01,2023,3,1,,"2,0",,"-5,4",,"-1,7",,"19,7",,"0,0",,"0,0",,"0,0",T,"0,0",T,20.0,,25.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-02,2023,3,2,,"1,2",,"-4,3",,"-1,6",,"19,6",,"0,0",,"0,0",,"2,8",,"3,4",,20.0,,1.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-03,2023,3,3,,"-2,8",,"-12,9",,"-7,9",,"25,9",,"0,0",,"0,0",,"0,0",,"0,0",,20.0,,3.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-04,2023,3,4,,"-1,3",,"-6,9",,"-4,1",,"22,1",,"0,0",,"0,0",,"14,6",,"14,6",,28.0,,5.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-05,2023,3,5,,"4,5",,"-4,2",,"0,2",,"17,8",,"0,0",,"0,0",,"0,0",,"0,0",,28.0,,26.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-06,2023,3,6,,"4,8",,"-6,2",,"-0,7",,"18,7",,"0,0",,"0,0",,"0,0",,"0,0",,,,26.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-07,2023,3,7,,"-1,3",,"-5,0",,"-3,2",,"21,2",,"0,0",,"0,0",,"0,2",,"0,2",,28.0,,29.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-08,2023,3,8,,"0,3",,"-5,6",,"-2,7",,"20,7",,"0,0",,"0,0",,"0,0",T,"0,0",T,25.0,,24.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-09,2023,3,9,,"0,9",,"-5,1",,"-2,1",,"20,1",,"0,0",,"0,0",,"0,0",T,"0,0",T,24.0,,21.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-10,2023,3,10,,"-1,3",,"-8,7",,"-5,0",,"23,0",,"0,0",,"0,0",,"0,0",,"0,0",,,,3.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-11,2023,3,11,,"3,0",,"-6,0",,"-1,5",,"19,5",,"0,0",,"0,0",,"0,0",,"0,0",,22.0,,3.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-12,2023,3,12,,"4,1",,"-8,0",,"-2,0",,"20,0",,"0,0",,"0,0",,"0,0",,"0,0",,21.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-13,2023,3,13,,"3,6",,"-0,5",,"1,6",,"16,4",,"0,0",,"0,0",,"0,0",T,"0,0",T,21.0,,13.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-14,2023,3,14,,"3,1",,"0,3",,"1,7",,"16,3",,"0,0",,"1,6",,"1,6",,"5,6",,15.0,,36.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-15,2023,3,15,,"7,6",,"-1,7",,"3,0",,"15,0",,"0,0",,"0,0",,"0,0",,"0,0",,11.0,,34.0,,47.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-16,2023,3,16,,"2,3",,"-1,3",,"0,5",,"17,5",,"0,0",,"0,0",,"0,0",T,"0,0",T,9.0,,24.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-17,2023,3,17,,"6,2",,"1,2",,"3,7",,"14,3",,"0,0",,"13,4",,"0,0",,"13,4",,8.0,,24.0,,54.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-18,2023,3,18,,"3,7",,"-3,0",,"0,4",,"17,6",,"0,0",,"0,0",,"0,0",,"0,0",,5.0,,24.0,,65.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-19,2023,3,19,,"-3,0",,"-6,5",,"-4,8",,"22,8",,"0,0",,"0,0",,"0,0",T,"0,0",T,4.0,,27.0,,63.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-20,2023,3,20,,"4,8",,"-4,0",,"0,4",,"17,6",,"0,0",,"0,0",,"0,0",,"0,0",,3.0,,23.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-21,2023,3,21,,"5,2",,"-2,6",,"1,3",,"16,7",,"0,0",,"0,0",,"0,0",,"0,0",,2.0,,28.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-03-22,2023,3,22,,"1,0",,"-5,6",,"-2,3",,"20,3",,"0,0",,"0,0",,"0,0",T,"0,0",T,1.0,,4.0,,42.0,
