Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
"-73,74","45,47",MONTREAL INTL A,7025251,2023-11-29,2023,11,29,,"0,0",,"-8,0",,"-4,0",,"22,0",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,20.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-11-30,2023,11,30,,"6,5",,"-0,3",,"3,1",,"14,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,22.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-01,2023,12,1,,"8,0",,"2,7",,"5,4",,"12,6",,"0,0",,"6,4",,"0,0",,"6,4",,,,24.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-02,2023,12,2,,"2,9",,"-0,6",,"1,2",,"16,8",,"0,0",,"2,4",,"0,0",T,"2,4",,,,5.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-03,2023,12,3,,"-0,2",,"-1,8",,"-1,0",,"19,0",,"0,0",,"0,0",,"21,8",,"20,0",,0.0,T,4.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-04,2023,12,4,,"-1,3",,"-3,9",,"-2,6",,"20,6",,"0,0",,"0,0",,"13,6",,"13,6",,19.0,,2.0,,38.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-05,2023,12,5,,"-3,8",,"-9,0",,"-6,4",,"24,4",,"0,0",,"0,0",,"0,2",,"0,2",,23.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-06,2023,12,6,,"-6,5",,"-13,1",,"-9,8",,"27,8",,"0,0",,"0,0",,"0,0",T,"0,0",T,22.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-07,2023,12,7,,"-7,4",,"-13,1",,"-10,3",,"28,3",,"0,0",,"0,0",,"0,0",T,"0,0",T,21.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-08,2023,12,8,,"-3,9",,"-7,6",,"-5,8",,"23,8",,"0,0",,"0,0",,"0,0",,"0,0",,20.0,,4.0,,34.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-09,2023,12,9,,"3,4",,"-6,5",,"-1,6",,"19,6",,"0,0",,"0,0",T,"0,0",,"0,0",T,19.0,E,3.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-10,2023,12,10,,"6,5",,"1,3",,"3,9",,"14,1",,"0,0",,"11,4",,"0,0",,"11,4",,11.0,,14.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-11,2023,12,11,,"2,3",,"-5,0",,"-1,4",,"19,4",,"0,0",,"2,4",,"4,4",,"6,8",,1.0,,29.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-12,2023,12,12,,"3,8",,"-5,9",,"-1,1",,"19,1",,"0,0",,"0,6",,"0,4",,"1,0",,0.0,T,22.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-13,2023,12,13,,"0,8",,"-6,4",,"-2,8",,"20,8",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,26.0,,54.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-14,2023,12,14,,"2,7",,"-8,2",,"-2,8",,"20,8",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,23.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-15,2023,12,15,,"7,7",,"2,4",,"5,1",,"12,9",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,24.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-16,2023,12,16,,"4,7",,"-1,5",,"1,6",,"16,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-17,2023,12,17,,"8,3",,"-0,9",,"3,7",,"14,3",,"0,0",,"15,6",,"0,0",,"15,6",,,,13.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-18,2023,12,18,,"9,2",,"5,1",,"7,2",,"10,8",,"0,0",,"53,0",,"0,0",,"53,0",,,,2.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-19,2023,12,19,,"5,2",,"-5,8",,"-0,3",,"18,3",,"0,0",,"0,6",,"1,0",,"1,6",,0.0,T,26.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-20,2023,12,20,,"-1,3",,"-5,9",,"-3,6",,"21,6",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,2.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-21,2023,12,21,,"-4,0",,"-8,8",,"-6,4",,"24,4",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,36.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-22,2023,12,22,,"-4,7",,"-10,1",,"-7,4",,"25,4",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-23,2023,12,23,,"-1,0",,"-8,3",,"-4,7",,"22,7",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-24,2023,12,24,,"1,8",,"-1,6",,"0,1",,"17,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-25,2023,12,25,,"5,0",,"0,7",,"2,9",,"15,1",,"0,0",,"0,0",,"0,0",,"0,0",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-26,2023,12,26,,"7,1",,"2,7",,"4,9",,"13,1",,"0,0",,"0,0",T,"0,0",,"0,0",T,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-27,2023,12,27,,"4,0",,"0,9",,"2,5",,"15,5",,"0,0",,"2,6",,"0,0",,"2,6",,,,2.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-28,2023,12,28,,"3,2",,"0,7",,"2,0",,"16,0",,"0,0",,"1,8",,"0,0",,"1,8",,,,3.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-29,2023,12,29,,"2,4",,"0,7",,"1,6",,"16,4",,"0,0",,"6,2",,"0,0",,"6,2",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-30,2023,12,30,,"1,4",,"-4,3",,"-1,5",,"19,5",,"0,0",,"0,8",,"0,0",T,"0,8",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2023-12-31,2023,12,31,,"-4,2",,"-5,5",,"-4,9",,"22,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-01,2024,1,1,,"-4,5",,"-7,3",,"-5,9",,"23,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,23.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-02,2024,1,2,,"0,9",,"-5,0",,"-2,1",,"20,1",,"0,0",,"0,0",,"0,0",,"0,0",,,,23.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-03,2024,1,3,,"1,9",,"-0,3",,"0,8",,"17,2",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,24.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-04,2024,1,4,,"1,6",,"-11,2",,"-4,8",,"22,8",,"0,0",,"0,0",,"0,8",,"0,8",,0.0,T,31.0,,40.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-05,2024,1,5,,"-1,8",,"-12,5",,"-7,2",,"25,2",,"0,0",,"0,0",,"0,4",,"0,4",,0.0,T,26.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-06,2024,1,6,,"-2,8",,"-10,1",,"-6,5",,"24,5",,"0,0",,"0,0",,"3,8",,"3,8",,0.0,T,4.0,,46.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-07,2024,1,7,,"-5,8",,"-9,0",,"-7,4",,"25,4",,"0,0",,"0,0",,"8,6",,"8,6",,4.0,,4.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-08,2024,1,8,,,M,,M,,M,,M,,M,"0,0",,"0,0",T,"0,0",T,12.0,,26.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-09,2024,1,9,,"1,9",,"-7,3",,"-2,7",,"20,7",,"0,0",,"5,0",,"16,4",,"22,0",,11.0,,8.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-10,2024,1,10,,"5,8",,"-2,8",,"1,5",,"16,5",,"0,0",,"13,0",,"0,0",,"13,0",,16.0,,24.0,,71.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-11,2024,1,11,,"-2,8",,"-6,9",,"-4,9",,"22,9",,"0,0",,"0,0",,"0,4",,"0,4",,10.0,,27.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-12,2024,1,12,,,M,,M,,M,,M,,M,"0,0",,"0,0",T,"0,0",T,7.0,,3.0,,51.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-13,2024,1,13,,"1,8",,"-7,0",,"-2,6",,"20,6",,"0,0",,"0,6",,"16,8",,"17,4",,8.0,,24.0,,75.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-14,2024,1,14,,"-1,9",,"-7,0",,"-4,5",,"22,5",,"0,0",,"0,0",,"2,6",,"2,6",,16.0,,26.0,,73.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-15,2024,1,15,,,M,,M,,M,,M,,M,"0,0",,"0,0",T,"0,0",T,11.0,E,22.0,,57.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-16,2024,1,16,,"-6,1",,"-11,5",,"-8,8",,"26,8",,"0,0",,"0,0",,"3,8",,"3,8",,11.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-17,2024,1,17,,"-8,4",,"-14,2",,"-11,3",,"29,3",,"0,0",,"0,0",,"0,0",,"0,0",,14.0,,24.0,,57.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-18,2024,1,18,,"-6,5",,"-11,1",,"-8,8",,"26,8",,"0,0",,"0,0",,"0,0",,"0,0",,13.0,,26.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-19,2024,1,19,,"-9,3",,"-16,9",,"-13,1",,"31,1",,"0,0",,"0,0",,"0,0",T,"0,0",T,13.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-20,2024,1,20,,"-10,5",,"-17,4",,"-14,0",,"32,0",,"0,0",,"0,0",,"1,6",,"1,6",,12.0,,27.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-21,2024,1,21,,"-10,6",,"-13,7",,"-12,2",,"30,2",,"0,0",,"0,0",,"0,0",T,"0,0",T,10.0,,27.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-22,2024,1,22,,"-0,5",,"-12,5",,"-6,5",,"24,5",,"0,0",,"0,0",,"0,6",,"0,6",,9.0,,23.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-23,2024,1,23,,"-0,1",,"-9,6",,"-4,9",,"22,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,10.0,,26.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-24,2024,1,24,,"-4,4",,"-10,6",,"-7,5",,"25,5",,"0,0",,"7,2",,"0,4",,"7,6",,10.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-25,2024,1,25,,"0,6",,"-4,6",,"-2,0",,"20,0",,"0,0",,"1,2",,"0,0",,"1,2",,9.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-26,2024,1,26,,"0,6",,"-0,8",,"-0,1",,"18,1",,"0,0",,"5,8",,"0,8",,"6,6",,9.0,,2.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-27,2024,1,27,,"1,5",,"-1,1",,"0,2",,"17,8",,"0,0",,"0,0",,"0,0",T,"0,0",T,10.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-28,2024,1,28,,"1,7",,"-0,3",,"0,7",,"17,3",,"0,0",,,M,,M,,M,10.0,,2.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-29,2024,1,29,,"0,1",,"-4,6",,"-2,3",,"20,3",,"0,0",,"0,0",,"0,0",T,"0,0",T,10.0,,2.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-30,2024,1,30,,"-4,7",,"-10,1",,"-7,4",,"25,4",,"0,0",,"0,0",,"0,0",T,"0,0",T,10.0,,3.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-01-31,2024,1,31,,"2,3",,"-7,4",,"-2,6",,"20,6",,"0,0",,"0,0",,"0,0",,"0,0",,10.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-01,2024,2,1,,"2,5",,"-0,2",,"1,2",,"16,8",,"0,0",,"1,6",,"0,0",,"1,6",,9.0,,23.0,,38.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-02,2024,2,2,,"0,6",,"-4,8",,"-2,1",,"20,1",,"0,0",,"0,0",,"0,0",,"0,0",,7.0,,3.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-03,2024,2,3,,"-3,0",,"-8,0",,"-5,5",,"23,5",,"0,0",,"0,0",,"0,0",T,"0,0",T,7.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-04,2024,2,4,,"-1,2",,"-10,1",,"-5,7",,"23,7",,"0,0",,"0,0",,"0,0",,"0,0",,7.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-05,2024,2,5,,,M,,M,,M,,M,,M,"0,0",,"0,0",,"0,0",,,,5.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-06,2024,2,6,,"-0,3",,"-7,8",,"-4,1",,"22,1",,"0,0",,"0,0",,"0,0",,"0,0",,7.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-07,2024,2,7,,"-0,2",,"-10,2",,"-5,2",,"23,2",,"0,0",,"0,0",,"0,0",,"0,0",,7.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-08,2024,2,8,,"5,6",,"-2,5",,"1,6",,"16,4",,"0,0",,"0,0",,"0,0",,"0,0",,6.0,,7.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-09,2024,2,9,,"6,7",,"-1,5",,"2,6",,"15,4",,"0,0",,"6,8",,"0,0",,"6,8",,6.0,,32.0,,33.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-10,2024,2,10,,"7,8",,"2,4",,"5,1",,"12,9",,"0,0",,"1,8",,"0,0",,"1,8",,5.0,,26.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-11,2024,2,11,,"3,4",,"1,2",,"2,3",,"15,7",,"0,0",,"0,0",,"0,0",,"0,0",,1.0,,26.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-12,2024,2,12,,"1,7",,"-3,4",,"-0,9",,"18,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,1.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-13,2024,2,13,,"2,3",,"-6,8",,"-2,3",,"20,3",,"0,0",,"0,0",,"1,4",,"1,4",,1.0,,2.0,,47.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-14,2024,2,14,,"-4,3",,"-10,6",,"-7,5",,"25,5",,"0,0",,"0,0",,"0,0",,"0,0",,2.0,,28.0,,55.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-15,2024,2,15,,"-3,3",,"-10,5",,"-6,9",,"24,9",,"0,0",,"0,0",,"3,4",,"3,4",,2.0,,3.0,,34.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-16,2024,2,16,,"-2,3",,"-8,2",,"-5,3",,"23,3",,"0,0",,"0,0",,"3,4",,"3,4",,5.0,,2.0,,48.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-17,2024,2,17,,"-7,7",,"-14,2",,"-11,0",,"29,0",,"0,0",,"0,0",,"0,0",T,"0,0",T,6.0,,27.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-18,2024,2,18,,"-1,8",,"-14,4",,"-8,1",,"26,1",,"0,0",,"0,0",,"7,0",,"5,2",,4.0,,23.0,,59.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-19,2024,2,19,,"-6,4",,"-13,9",,"-10,2",,"28,2",,"0,0",,"0,0",,"0,0",,"0,0",,5.0,,28.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-20,2024,2,20,,"-6,4",,"-13,0",,"-9,7",,"27,7",,"0,0",,"0,0",,"0,0",T,"0,0",T,5.0,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-21,2024,2,21,,"4,4",,"-12,5",,"-4,1",,"22,1",,"0,0",,"0,0",,"0,0",,"0,0",,4.0,,16.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-22,2024,2,22,,"3,2",,"0,0",,"1,6",,"16,4",,"0,0",,"0,4",,"0,0",T,"0,4",,2.0,,14.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-23,2024,2,23,,"6,2",,"-9,9",,"-1,9",,"19,9",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,34.0,,40.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-24,2024,2,24,,"-8,2",,"-15,6",,"-11,9",,"29,9",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,27.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-25,2024,2,25,,"1,1",,"-12,0",,"-5,5",,"23,5",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,14.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-26,2024,2,26,,"5,1",,"-0,8",,"2,2",,"15,8",,"0,0",,"0,0",,"1,0",,"1,0",,0.0,T,26.0,,43.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-27,2024,2,27,,"14,9",,"-1,0",,"7,0",,"11,0",,"0,0",,"0,0",T,"0,0",,"0,0",T,0.0,T,15.0,,45.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-28,2024,2,28,,"13,8",,"-12,0",,"0,9",,"17,1",,"0,0",,"7,4",,"0,4",,"7,8",,0.0,T,24.0,,92.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-02-29,2024,2,29,,"-8,0",,"-12,5",,"-10,3",,"28,3",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,29.0,,76.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-01,2024,3,1,,"-0,2",,"-12,1",,"-6,2",,"24,2",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,22.0,,31.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-02,2024,3,2,,"4,2",,"-6,1",,"-1,0",,"19,0",,"0,0",,"3,0",,"0,0",,"3,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-03,2024,3,3,,"9,3",,"0,5",,"4,9",,"13,1",,"0,0",,"0,4",,"0,0",,"0,4",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-04,2024,3,4,,,M,,M,,M,,M,,M,"0,0",T,"0,0",,"0,0",T,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-05,2024,3,5,,"14,1",,"-0,2",,"7,0",,"11,0",,"0,0",,"0,6",,"0,0",,"0,6",,,,11.0,,34.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-06,2024,3,6,,"6,7",,"3,5",,"5,1",,"12,9",,"0,0",,"4,2",,"0,0",,"4,2",,,,4.0,,49.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-07,2024,3,7,,"8,3",,"0,5",,"4,4",,"13,6",,"0,0",,"0,0",,"0,0",,"0,0",,,,3.0,,51.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-08,2024,3,8,,,M,,M,,M,,M,,M,"0,0",,"0,0",,"0,0",,0.0,T,2.0,,36.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-09,2024,3,9,,"7,4",,"-0,5",,"3,5",,"14,5",,"0,0",,"14,4",,"0,0",T,"14,4",,0.0,T,14.0,,66.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-10,2024,3,10,,"3,0",,"-3,2",,"-0,1",,"18,1",,"0,0",,"1,4",,"7,4",,"8,8",,2.0,,12.0,,51.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-11,2024,3,11,,"3,6",,"-3,2",,"0,2",,"17,8",,"0,0",,"0,0",,"0,6",,"0,6",,3.0,,28.0,,75.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-12,2024,3,12,,"8,8",,"-1,0",,"3,9",,"14,1",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,28.0,,47.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-13,2024,3,13,,"6,9",,"-1,2",,"2,9",,"15,1",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-14,2024,3,14,,"11,5",,"-0,2",,"5,7",,"12,3",,"0,0",,"0,0",,"0,0",,"0,0",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-15,2024,3,15,,"11,8",,"4,0",,"7,9",,"10,1",,"0,0",,"2,8",,"0,0",,"2,8",,,,1.0,,32.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-16,2024,3,16,,"7,2",,"1,4",,"4,3",,"13,7",,"0,0",,"4,4",,"0,0",,"4,4",,,,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-17,2024,3,17,,"8,6",,"1,4",,"5,0",,"13,0",,"0,0",,"7,4",,"0,0",,"7,4",,,,24.0,,60.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-18,2024,3,18,,"3,7",,"-1,0",,"1,4",,"16,6",,"0,0",,"1,6",,"0,2",,"2,2",,0.0,T,24.0,,52.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-19,2024,3,19,,"1,1",,"-4,1",,"-1,5",,"19,5",,"0,0",,"0,0",,"1,8",,"1,8",,0.0,T,27.0,,41.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-20,2024,3,20,,"4,6",,"-4,6",,"0,0",,"18,0",,"0,0",,"0,0",,"1,0",,"1,0",,1.0,,23.0,,54.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-21,2024,3,21,,"-3,2",,"-9,2",,"-6,2",,"24,2",,"0,0",,"0,0",,"0,0",T,"0,0",T,0.0,T,30.0,,64.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-22,2024,3,22,,"-3,3",,"-11,1",,"-7,2",,"25,2",,"0,0",,"0,0",,"0,0",,"0,0",,,,28.0,,48.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-23,2024,3,23,,"-4,0",,"-10,6",,"-7,3",,"25,3",,"0,0",,"0,0",,"5,8",,"5,6",,2.0,,4.0,,47.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-24,2024,3,24,,"0,8",,"-11,7",,"-5,5",,"23,5",,"0,0",,"0,0",,"0,0",,"0,0",,3.0,,21.0,,40.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-25,2024,3,25,,"7,3",,"-5,3",,"1,0",,"17,0",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,12.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-26,2024,3,26,,"11,7",,"-0,6",,"5,6",,"12,4",,"0,0",,"0,0",,"0,0",,"0,0",,,,7.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-27,2024,3,27,,"14,6",,"4,8",,"9,7",,"8,3",,"0,0",,"2,6",,"0,0",,"2,6",,,,14.0,,52.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-28,2024,3,28,,"8,7",,"1,4",,"5,1",,"12,9",,"0,0",,"0,0",,"0,0",,"0,0",,,,26.0,,39.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-29,2024,3,29,,"9,6",,"-0,9",,"4,4",,"13,6",,"0,0",,"0,0",,"0,0",,"0,0",,,,31.0,,61.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-30,2024,3,30,,,M,,M,,M,,M,,M,"0,0",,"0,0",,"0,0",,,,30.0,,53.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-03-31,2024,3,31,,"10,0",,"1,8",,"5,9",,"12,1",,"0,0",,"0,0",,"0,0",,"0,0",,,,28.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-01,2024,4,1,,"10,5",,"-0,7",,"4,9",,"13,1",,"0,0",,"0,0",T,"0,0",,"0,0",T,,,3.0,,48.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-02,2024,4,2,,"11,3",,"-1,9",,"4,7",,"13,3",,"0,0",,"0,0",,"0,0",,"0,0",,,,6.0,,50.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-03,2024,4,3,,"10,2",,"0,3",,"5,3",,"12,7",,"0,0",,"15,8",,"6,0",,"21,8",,4.0,E,9.0,,69.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-04,2024,4,4,,"1,3",,"-1,4",,"-0,1",,"18,1",,"0,0",,"1,0",,"20,0",,"24,0",,9.0,,5.0,,69.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-05,2024,4,5,,"5,2",,"0,7",,"3,0",,"15,0",,"0,0",,"5,2",,"0,2",,"5,4",,8.0,,8.0,,37.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-06,2024,4,6,,"8,0",,"1,6",,"4,8",,"13,2",,"0,0",,"0,0",T,"0,0",,"0,0",T,0.0,T,3.0,,42.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-07,2024,4,7,,"11,9",,"-1,4",,"5,3",,"12,7",,"0,0",,"0,0",,"0,0",,"0,0",,0.0,T,,M,,M
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-08,2024,4,8,,"17,8",,"2,1",,"10,0",,"8,0",,"0,0",,"0,0",,"0,0",,"0,0",,,,28.0,,35.0,
"-73,74","45,47",MONTREAL INTL A,7025251,2024-04-09,2024,4,9,,"18,6",,"4,2",,"11,4",,"6,6",,"0,0",,"0,0",,"0,0",,"0,0",,,,6.0,,33.0,
